team,deficits,wins,draws,losses,points,points_per_deficit,season,games
Borussia Mönchengladbach,7,1,0,6,3,0.43,2019,Away Games
SV Werder Bremen,10,0,3,7,3,0.3,2019,Away Games
SC Paderborn 07,11,0,2,9,2,0.18,2019,Away Games
1.FC Union Berlin,12,0,1,11,1,0.08,2019,Away Games
1.FSV Mainz 05,10,0,1,9,1,0.1,2019,Away Games
FC Augsburg,10,0,1,9,1,0.1,2019,Away Games
Bayern Munich,14,6,4,4,22,1.57,2020,All Games
Eintracht Frankfurt,19,4,9,6,21,1.11,2020,All Games
Borussia Mönchengladbach,20,4,5,11,17,0.85,2020,All Games
TSG 1899 Hoffenheim,22,4,5,13,17,0.77,2020,All Games
Borussia Dortmund,18,4,4,10,16,0.89,2020,All Games
VfL Wolfsburg,15,2,6,7,12,0.8,2020,All Games
1.FC Union Berlin,16,2,6,8,12,0.75,2020,All Games
Hertha BSC,21,3,3,15,12,0.57,2020,All Games
VfB Stuttgart,20,2,5,13,11,0.55,2020,All Games
RB Leipzig,13,2,4,7,10,0.77,2020,All Games
Bayer 04 Leverkusen,15,2,3,10,9,0.6,2020,All Games
1.FSV Mainz 05,19,2,2,15,8,0.42,2020,All Games
SC Freiburg,18,1,4,13,7,0.39,2020,All Games
SV Werder Bremen,21,1,3,17,6,0.29,2020,All Games
FC Schalke 04,28,1,3,24,6,0.21,2020,All Games
1.FC Köln,21,0,4,17,4,0.19,2020,All Games
FC Augsburg,21,0,3,18,3,0.14,2020,All Games
Arminia Bielefeld,19,0,2,17,2,0.11,2020,All Games
Eintracht Frankfurt,9,4,5,0,17,1.89,2020,Home Games
Bayern Munich,6,3,3,0,12,2,2020,Home Games
Borussia Mönchengladbach,9,3,1,5,10,1.11,2020,Home Games
TSG 1899 Hoffenheim,10,3,1,6,10,1,2020,Home Games
1.FC Union Berlin,6,2,3,1,9,1.5,2020,Home Games
Borussia Dortmund,8,2,2,4,8,1,2020,Home Games
RB Leipzig,5,2,1,2,7,1.4,2020,Home Games
VfL Wolfsburg,6,2,1,3,7,1.17,2020,Home Games
SC Freiburg,9,1,4,4,7,0.78,2020,Home Games
Hertha BSC,10,2,1,7,7,0.7,2020,Home Games
Bayer 04 Leverkusen,7,1,2,4,5,0.71,2020,Home Games
SV Werder Bremen,12,1,2,9,5,0.42,2020,Home Games
1.FSV Mainz 05,11,1,1,9,4,0.36,2020,Home Games
FC Schalke 04,13,1,1,11,4,0.31,2020,Home Games
